location,date,requested_latitude,requested_longitude,latitude,longitude,co2_ppm,grid_latitude,grid_longitude
Dehradun,2003-01-01,30.316500,78.032200,30.000000,78.000000,375.661346,30.000000,78.000000
Dehradun,2003-02-01,30.316500,78.032200,30.000000,78.000000,375.789795,30.000000,78.000000
Dehradun,2003-03-01,30.316500,78.032200,30.000000,78.000000,376.631012,30.000000,78.000000
Dehradun,2003-04-01,30.316500,78.032200,30.000000,78.000000,378.369904,30.000000,78.000000
Dehradun,2003-05-01,30.316500,78.032200,30.000000,78.000000,379.144989,30.000000,78.000000
Dehradun,2003-06-01,30.316500,78.032200,30.000000,78.000000,380.851074,30.000000,78.000000
Dehradun,2003-07-01,30.316500,78.032200,30.000000,78.000000,377.659973,30.000000,78.000000
Dehradun,2003-08-01,30.316500,78.032200,30.000000,78.000000,375.430237,30.000000,78.000000
Dehradun,2003-09-01,30.316500,78.032200,30.000000,78.000000,375.039673,30.000000,78.000000
Dehradun,2003-10-01,30.316500,78.032200,30.000000,78.000000,374.375397,30.000000,78.000000
Dehradun,2003-11-01,30.316500,78.032200,30.000000,78.000000,376.680328,30.000000,78.000000
Dehradun,2003-12-01,30.316500,78.032200,30.000000,78.000000,377.260559,30.000000,78.000000
Dehradun,2004-01-01,30.316500,78.032200,30.000000,78.000000,378.385071,30.000000,78.000000
Dehradun,2004-02-01,30.316500,78.032200,30.000000,78.000000,378.562500,30.000000,78.000000
Dehradun,2004-03-01,30.316500,78.032200,30.000000,78.000000,379.431610,30.000000,78.000000
Dehradun,2004-04-01,30.316500,78.032200,30.000000,78.000000,381.552155,30.000000,78.000000
Dehradun,2004-05-01,30.316500,78.032200,30.000000,78.000000,381.932465,30.000000,78.000000
Dehradun,2004-06-01,30.316500,78.032200,30.000000,78.000000,382.306702,30.000000,78.000000
Dehradun,2004-07-01,30.316500,78.032200,30.000000,78.000000,381.629730,30.000000,78.000000
Dehradun,2004-08-01,30.316500,78.032200,30.000000,78.000000,378.453186,30.000000,78.000000
Dehradun,2004-09-01,30.316500,78.032200,30.000000,78.000000,379.012207,30.000000,78.000000
Dehradun,2004-10-01,30.316500,78.032200,30.000000,78.000000,377.283295,30.000000,78.000000
Dehradun,2004-11-01,30.316500,78.032200,30.000000,78.000000,378.789459,30.000000,78.000000
Dehradun,2004-12-01,30.316500,78.032200,30.000000,78.000000,380.199585,30.000000,78.000000
Dehradun,2005-01-01,30.316500,78.032200,30.000000,78.000000,380.559570,30.000000,78.000000
Dehradun,2005-02-01,30.316500,78.032200,30.000000,78.000000,381.386566,30.000000,78.000000
Dehradun,2005-03-01,30.316500,78.032200,30.000000,78.000000,382.243774,30.000000,78.000000
Dehradun,2005-04-01,30.316500,78.032200,30.000000,78.000000,383.496765,30.000000,78.000000
Dehradun,2005-05-01,30.316500,78.032200,30.000000,78.000000,384.143188,30.000000,78.000000
Dehradun,2005-06-01,30.316500,78.032200,30.000000,78.000000,385.256897,30.000000,78.000000
Dehradun,2005-07-01,30.316500,78.032200,30.000000,78.000000,384.012817,30.000000,78.000000
Dehradun,2005-08-01,30.316500,78.032200,30.000000,78.000000,381.635132,30.000000,78.000000
Dehradun,2005-09-01,30.316500,78.032200,30.000000,78.000000,380.251495,30.000000,78.000000
Dehradun,2005-10-01,30.316500,78.032200,30.000000,78.000000,380.792236,30.000000,78.000000
Dehradun,2005-11-01,30.316500,78.032200,30.000000,78.000000,381.245178,30.000000,78.000000
Dehradun,2005-12-01,30.316500,78.032200,30.000000,78.000000,382.195465,30.000000,78.000000
Dehradun,2006-01-01,30.316500,78.032200,30.000000,78.000000,383.490356,30.000000,78.000000
Dehradun,2006-02-01,30.316500,78.032200,30.000000,78.000000,384.432251,30.000000,78.000000
Dehradun,2006-03-01,30.316500,78.032200,30.000000,78.000000,384.984589,30.000000,78.000000
Dehradun,2006-04-01,30.316500,78.032200,30.000000,78.000000,386.813629,30.000000,78.000000
Dehradun,2006-05-01,30.316500,78.032200,30.000000,78.000000,389.927124,30.000000,78.000000
Dehradun,2006-06-01,30.316500,78.032200,30.000000,78.000000,388.173645,30.000000,78.000000
Dehradun,2006-07-01,30.316500,78.032200,30.000000,78.000000,386.238617,30.000000,78.000000
Dehradun,2006-08-01,30.316500,78.032200,30.000000,78.000000,383.758118,30.000000,78.000000
Dehradun,2006-09-01,30.316500,78.032200,30.000000,78.000000,383.262299,30.000000,78.000000
Dehradun,2006-10-01,30.316500,78.032200,30.000000,78.000000,383.971924,30.000000,78.000000
Dehradun,2006-11-01,30.316500,78.032200,30.000000,78.000000,384.165527,30.000000,78.000000
Dehradun,2006-12-01,30.316500,78.032200,30.000000,78.000000,384.765869,30.000000,78.000000
Dehradun,2007-01-01,30.316500,78.032200,30.000000,78.000000,385.998657,30.000000,78.000000
Dehradun,2007-02-01,30.316500,78.032200,30.000000,78.000000,386.673798,30.000000,78.000000
Dehradun,2007-03-01,30.316500,78.032200,30.000000,78.000000,387.389771,30.000000,78.000000
Dehradun,2007-04-01,30.316500,78.032200,30.000000,78.000000,389.663574,30.000000,78.000000
Dehradun,2007-05-01,30.316500,78.032200,30.000000,78.000000,390.437469,30.000000,78.000000
Dehradun,2007-06-01,30.316500,78.032200,30.000000,78.000000,390.056549,30.000000,78.000000
Dehradun,2007-07-01,30.316500,78.032200,30.000000,78.000000,388.362152,30.000000,78.000000
Dehradun,2007-08-01,30.316500,78.032200,30.000000,78.000000,385.770355,30.000000,78.000000
Dehradun,2007-09-01,30.316500,78.032200,30.000000,78.000000,384.122589,30.000000,78.000000
Dehradun,2007-10-01,30.316500,78.032200,30.000000,78.000000,383.333832,30.000000,78.000000
Dehradun,2007-11-01,30.316500,78.032200,30.000000,78.000000,385.138580,30.000000,78.000000
Dehradun,2007-12-01,30.316500,78.032200,30.000000,78.000000,385.608948,30.000000,78.000000
Dehradun,2008-01-01,30.316500,78.032200,30.000000,78.000000,386.291473,30.000000,78.000000
Dehradun,2008-02-01,30.316500,78.032200,30.000000,78.000000,386.713409,30.000000,78.000000
Dehradun,2008-03-01,30.316500,78.032200,30.000000,78.000000,387.779907,30.000000,78.000000
Dehradun,2008-04-01,30.316500,78.032200,30.000000,78.000000,389.485657,30.000000,78.000000
Dehradun,2008-05-01,30.316500,78.032200,30.000000,78.000000,391.056000,30.000000,78.000000
Dehradun,2008-06-01,30.316500,78.032200,30.000000,78.000000,391.462982,30.000000,78.000000
Dehradun,2008-07-01,30.316500,78.032200,30.000000,78.000000,388.999664,30.000000,78.000000
Dehradun,2008-08-01,30.316500,78.032200,30.000000,78.000000,386.571747,30.000000,78.000000
Dehradun,2008-09-01,30.316500,78.032200,30.000000,78.000000,384.918335,30.000000,78.000000
Dehradun,2008-10-01,30.316500,78.032200,30.000000,78.000000,385.667114,30.000000,78.000000
Dehradun,2008-11-01,30.316500,78.032200,30.000000,78.000000,386.393768,30.000000,78.000000
Dehradun,2008-12-01,30.316500,78.032200,30.000000,78.000000,387.612915,30.000000,78.000000
Dehradun,2009-01-01,30.316500,78.032200,30.000000,78.000000,388.291138,30.000000,78.000000
Dehradun,2009-02-01,30.316500,78.032200,30.000000,78.000000,388.775604,30.000000,78.000000
Dehradun,2009-03-01,30.316500,78.032200,30.000000,78.000000,390.147858,30.000000,78.000000
Dehradun,2009-04-01,30.316500,78.032200,30.000000,78.000000,391.229706,30.000000,78.000000
Dehradun,2009-05-01,30.316500,78.032200,30.000000,78.000000,393.000824,30.000000,78.000000
Dehradun,2009-06-01,30.316500,78.032200,30.000000,78.000000,392.249146,30.000000,78.000000
Dehradun,2009-07-01,30.316500,78.032200,30.000000,78.000000,391.479004,30.000000,78.000000
Dehradun,2009-08-01,30.316500,78.032200,30.000000,78.000000,389.549683,30.000000,78.000000
Dehradun,2009-09-01,30.316500,78.032200,30.000000,78.000000,387.518921,30.000000,78.000000
Dehradun,2009-10-01,30.316500,78.032200,30.000000,78.000000,386.398804,30.000000,78.000000
Dehradun,2009-11-01,30.316500,78.032200,30.000000,78.000000,387.779907,30.000000,78.000000
Dehradun,2009-12-01,30.316500,78.032200,30.000000,78.000000,388.969482,30.000000,78.000000
Dehradun,2010-01-01,30.316500,78.032200,30.000000,78.000000,389.864838,30.000000,78.000000
Dehradun,2010-02-01,30.316500,78.032200,30.000000,78.000000,390.229248,30.000000,78.000000
Dehradun,2010-03-01,30.316500,78.032200,30.000000,78.000000,392.060028,30.000000,78.000000
Dehradun,2010-04-01,30.316500,78.032200,30.000000,78.000000,394.201996,30.000000,78.000000
Dehradun,2010-05-01,30.316500,78.032200,30.000000,78.000000,394.977173,30.000000,78.000000
Dehradun,2010-06-01,30.316500,78.032200,30.000000,78.000000,394.157593,30.000000,78.000000
Dehradun,2010-07-01,30.316500,78.032200,30.000000,78.000000,393.873718,30.000000,78.000000
Dehradun,2010-08-01,30.316500,78.032200,30.000000,78.000000,390.324951,30.000000,78.000000
Dehradun,2010-09-01,30.316500,78.032200,30.000000,78.000000,389.197205,30.000000,78.000000
Dehradun,2010-10-01,30.316500,78.032200,30.000000,78.000000,389.170074,30.000000,78.000000
Dehradun,2010-11-01,30.316500,78.032200,30.000000,78.000000,390.281708,30.000000,78.000000
Dehradun,2010-12-01,30.316500,78.032200,30.000000,78.000000,391.186615,30.000000,78.000000
Dehradun,2011-01-01,30.316500,78.032200,30.000000,78.000000,392.098419,30.000000,78.000000
Dehradun,2011-02-01,30.316500,78.032200,30.000000,78.000000,392.461975,30.000000,78.000000
Dehradun,2011-03-01,30.316500,78.032200,30.000000,78.000000,393.737213,30.000000,78.000000
Dehradun,2011-04-01,30.316500,78.032200,30.000000,78.000000,395.366516,30.000000,78.000000
Dehradun,2011-05-01,30.316500,78.032200,30.000000,78.000000,397.087524,30.000000,78.000000
Dehradun,2011-06-01,30.316500,78.032200,30.000000,78.000000,397.791931,30.000000,78.000000
Dehradun,2011-07-01,30.316500,78.032200,30.000000,78.000000,395.617432,30.000000,78.000000
Dehradun,2011-08-01,30.316500,78.032200,30.000000,78.000000,392.700623,30.000000,78.000000
Dehradun,2011-09-01,30.316500,78.032200,30.000000,78.000000,390.817444,30.000000,78.000000
Dehradun,2011-10-01,30.316500,78.032200,30.000000,78.000000,390.981812,30.000000,78.000000
Dehradun,2011-11-01,30.316500,78.032200,30.000000,78.000000,392.517151,30.000000,78.000000
Dehradun,2011-12-01,30.316500,78.032200,30.000000,78.000000,392.692596,30.000000,78.000000
Dehradun,2012-01-01,30.316500,78.032200,30.000000,78.000000,393.462128,30.000000,78.000000
Dehradun,2012-02-01,30.316500,78.032200,30.000000,78.000000,394.607300,30.000000,78.000000
Dehradun,2012-03-01,30.316500,78.032200,30.000000,78.000000,395.589783,30.000000,78.000000
Dehradun,2012-04-01,30.316500,78.032200,30.000000,78.000000,396.873169,30.000000,78.000000
Dehradun,2012-05-01,30.316500,78.032200,30.000000,78.000000,397.666351,30.000000,78.000000
Dehradun,2012-06-01,30.316500,78.032200,30.000000,78.000000,399.012238,30.000000,78.000000
Dehradun,2012-07-01,30.316500,78.032200,30.000000,78.000000,399.044983,30.000000,78.000000
Dehradun,2012-08-01,30.316500,78.032200,30.000000,78.000000,395.059631,30.000000,78.000000
