date,year,month,regional_mean_co2_ppm
2003-01-01,2003,1,374.475006
2003-02-01,2003,2,375.446991
2003-03-01,2003,3,376.310059
2003-04-01,2003,4,377.969086
2003-05-01,2003,5,378.769043
2003-06-01,2003,6,379.406036
2003-07-01,2003,7,376.950775
2003-08-01,2003,8,375.386047
2003-09-01,2003,9,375.083710
2003-10-01,2003,10,374.798920
2003-11-01,2003,11,375.638428
2003-12-01,2003,12,376.601685
2004-01-01,2004,1,377.544373
2004-02-01,2004,2,377.824097
2004-03-01,2004,3,379.177612
2004-04-01,2004,4,380.690338
2004-05-01,2004,5,381.877411
2004-06-01,2004,6,381.774750
2004-07-01,2004,7,380.588867
2004-08-01,2004,8,378.343475
2004-09-01,2004,9,378.114410
2004-10-01,2004,10,376.940002
2004-11-01,2004,11,377.814331
2004-12-01,2004,12,378.963470
2005-01-01,2005,1,379.957062
2005-02-01,2005,2,380.772247
2005-03-01,2005,3,381.786469
2005-04-01,2005,4,383.197327
2005-05-01,2005,5,384.029358
2005-06-01,2005,6,385.334900
2005-07-01,2005,7,382.567688
2005-08-01,2005,8,381.038513
2005-09-01,2005,9,380.374451
2005-10-01,2005,10,380.083862
2005-11-01,2005,11,380.522278
2005-12-01,2005,12,381.480988
2006-01-01,2006,1,382.635834
2006-02-01,2006,2,383.760132
2006-03-01,2006,3,384.397339
2006-04-01,2006,4,385.850708
2006-05-01,2006,5,387.513428
2006-06-01,2006,6,387.248993
2006-07-01,2006,7,385.308105
2006-08-01,2006,8,383.572296
2006-09-01,2006,9,383.282471
2006-10-01,2006,10,382.992584
2006-11-01,2006,11,383.502106
2006-12-01,2006,12,384.116852
2007-01-01,2007,1,385.020996
2007-02-01,2007,2,385.855896
2007-03-01,2007,3,386.627502
2007-04-01,2007,4,388.815826
2007-05-01,2007,5,389.762207
2007-06-01,2007,6,389.146057
2007-07-01,2007,7,387.366669
2007-08-01,2007,8,385.280212
2007-09-01,2007,9,383.988159
2007-10-01,2007,10,383.288391
2007-11-01,2007,11,383.708252
2007-12-01,2007,12,384.795349
2008-01-01,2008,1,385.741333
2008-02-01,2008,2,385.799835
2008-03-01,2008,3,387.548737
2008-04-01,2008,4,389.205811
2008-05-01,2008,5,390.667450
2008-06-01,2008,6,389.987640
2008-07-01,2008,7,388.108093
2008-08-01,2008,8,386.082550
2008-09-01,2008,9,384.927979
2008-10-01,2008,10,384.511169
2008-11-01,2008,11,385.113251
2008-12-01,2008,12,386.549805
2009-01-01,2009,1,387.622772
2009-02-01,2009,2,388.176147
2009-03-01,2009,3,389.867554
2009-04-01,2009,4,391.110016
2009-05-01,2009,5,392.684601
2009-06-01,2009,6,392.902222
2009-07-01,2009,7,390.711700
2009-08-01,2009,8,388.998077
2009-09-01,2009,9,386.766968
2009-10-01,2009,10,386.299438
2009-11-01,2009,11,387.164062
2009-12-01,2009,12,387.668335
2010-01-01,2010,1,388.416656
2010-02-01,2010,2,389.573303
2010-03-01,2010,3,391.542908
2010-04-01,2010,4,393.354858
2010-05-01,2010,5,394.414337
2010-06-01,2010,6,394.111267
2010-07-01,2010,7,392.533936
2010-08-01,2010,8,390.139923
2010-09-01,2010,9,389.365540
2010-10-01,2010,10,389.051788
2010-11-01,2010,11,389.491913
2010-12-01,2010,12,390.332611
2011-01-01,2011,1,391.080292
2011-02-01,2011,2,391.774750
2011-03-01,2011,3,393.119019
2011-04-01,2011,4,395.245941
2011-05-01,2011,5,396.234161
2011-06-01,2011,6,396.256958
2011-07-01,2011,7,394.445984
2011-08-01,2011,8,392.370117
2011-09-01,2011,9,390.799011
2011-10-01,2011,10,390.055450
2011-11-01,2011,11,390.856750
2011-12-01,2011,12,391.888550
2012-01-01,2012,1,392.680176
2012-02-01,2012,2,393.746399
2012-03-01,2012,3,394.872650
2012-04-01,2012,4,396.586609
2012-05-01,2012,5,398.316284
2012-06-01,2012,6,398.887421
2012-07-01,2012,7,396.962738
2012-08-01,2012,8,394.672485
2012-09-01,2012,9,392.977386
2012-10-01,2012,10,392.426697
2012-11-01,2012,11,393.280457
2012-12-01,2012,12,394.450897
2013-01-01,2013,1,395.207947
2013-02-01,2013,2,395.607391
2013-03-01,2013,3,396.715271
2013-04-01,2013,4,398.798279
2013-05-01,2013,5,399.748169
2013-06-01,2013,6,399.891541
2013-07-01,2013,7,397.309418
2013-08-01,2013,8,395.601959
2013-09-01,2013,9,394.269684
2013-10-01,2013,10,393.625336
2013-11-01,2013,11,394.219666
2013-12-01,2013,12,395.638000
2014-01-01,2014,1,396.185181
2014-02-01,2014,2,396.995117
2014-03-01,2014,3,398.305176
2014-04-01,2014,4,400.547180
2014-05-01,2014,5,401.682648
2014-06-01,2014,6,402.191864
2014-07-01,2014,7,400.301056
2014-08-01,2014,8,397.649109
2014-09-01,2014,9,395.661591
2014-10-01,2014,10,394.427246
2014-11-01,2014,11,395.746674
2014-12-01,2014,12,396.731873
2015-01-01,2015,1,397.491394
2015-02-01,2015,2,398.392090
2015-03-01,2015,3,400.078644
2015-04-01,2015,4,401.822906
2015-05-01,2015,5,402.777588
2015-06-01,2015,6,402.671570
2015-07-01,2015,7,401.110657
2015-08-01,2015,8,399.464600
2015-09-01,2015,9,398.690552
2015-10-01,2015,10,397.641693
2015-11-01,2015,11,398.561127
2015-12-01,2015,12,399.789429
2016-01-01,2016,1,400.645325
2016-02-01,2016,2,401.651337
2016-03-01,2016,3,403.120850
2016-04-01,2016,4,405.097748
2016-05-01,2016,5,406.803467
2016-06-01,2016,6,407.473877
2016-07-01,2016,7,404.771759
2016-08-01,2016,8,402.795044
2016-09-01,2016,9,401.412018
2016-10-01,2016,10,400.393585
2016-11-01,2016,11,400.971344
2016-12-01,2016,12,401.880157
2017-01-01,2017,1,402.914612
2017-02-01,2017,2,403.607300
2017-03-01,2017,3,405.056427
2017-04-01,2017,4,406.902924
2017-05-01,2017,5,408.775177
2017-06-01,2017,6,408.321075
2017-07-01,2017,7,406.290283
2017-08-01,2017,8,404.878723
2017-09-01,2017,9,403.197510
2017-10-01,2017,10,401.859772
2017-11-01,2017,11,401.865021
2017-12-01,2017,12,403.766327
2018-01-01,2018,1,404.356781
2018-02-01,2018,2,405.607819
2018-03-01,2018,3,406.773010
2018-04-01,2018,4,409.049866
2018-05-01,2018,5,410.345337
2018-06-01,2018,6,411.152679
2018-07-01,2018,7,408.866913
2018-08-01,2018,8,407.085388
2018-09-01,2018,9,405.234833
2018-10-01,2018,10,404.387695
2018-11-01,2018,11,405.119141
2018-12-01,2018,12,406.432220
2019-01-01,2019,1,407.637329
2019-02-01,2019,2,408.817841
2019-03-01,2019,3,409.806549
2019-04-01,2019,4,411.758057
2019-05-01,2019,5,413.074768
2019-06-01,2019,6,414.261688
2019-07-01,2019,7,412.990204
2019-08-01,2019,8,410.837891
2019-09-01,2019,9,410.209259
2019-10-01,2019,10,409.653259
2019-11-01,2019,11,410.203461
2019-12-01,2019,12,411.281189
2020-01-01,2020,1,412.133301
2020-02-01,2020,2,412.697662
2020-03-01,2020,3,413.939819
2020-04-01,2020,4,415.921539
2020-05-01,2020,5,416.908447
2020-06-01,2020,6,417.569183
2020-07-01,2020,7,416.463654
2020-08-01,2020,8,414.784119
2020-09-01,2020,9,414.057281
2020-10-01,2020,10,413.808594
2020-11-01,2020,11,413.817871
2020-12-01,2020,12,414.721008
