SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,02-12-2013 12:00,7
2,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,21-12-2013 19:00,1
3,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,21-12-2013 20:00,4
4,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,21-12-2013 22:00,0.8
5,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,21-12-2013 23:00,2
6,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-12-2013 01:00,1.6
7,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-12-2013 02:00,5.4
8,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-12-2013 03:00,5.6
9,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-12-2013 04:00,1.8
10,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-12-2013 05:00,3.6
11,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-12-2013 06:00,3.6
12,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-12-2013 07:00,0.2
13,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-12-2013 10:00,1
14,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-12-2013 20:00,0.6
15,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-12-2013 21:00,1
16,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,23-12-2013 03:00,0.2
17,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,31-12-2013 00:00,0.4
18,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,31-12-2013 01:00,0.2
19,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,31-12-2013 03:00,0.8
20,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,31-12-2013 04:00,1.6
21,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,31-12-2013 05:00,1
22,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,31-12-2013 06:00,0.2
23,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,31-12-2013 07:00,0.2
24,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,31-12-2013 08:00,0.2
25,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,04-01-2014 21:00,0.2
26,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,05-01-2014 01:00,0.2
27,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,10-01-2014 21:00,0.4
28,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,10-01-2014 22:00,0.2
29,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,14-01-2014 08:00,0.2
30,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,18-01-2014 06:00,1
31,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,18-01-2014 07:00,0.2
32,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,18-01-2014 08:00,0.4
33,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,21-01-2014 16:00,0.2
34,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-01-2014 12:00,0.6
35,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-01-2014 13:00,0.2
36,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-01-2014 15:00,0.4
37,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-01-2014 16:00,1
38,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-01-2014 17:00,1.2
39,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-01-2014 18:00,5.2
40,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-01-2014 19:00,10.8
