_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,1,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,14-01-2026 08:00,250
2,2,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,14-01-2026 09:00,270
3,3,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,14-01-2026 13:00,298
4,4,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,14-01-2026 17:00,268.5
5,5,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,14-01-2026 19:00,260
6,6,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,14-01-2026 20:00,257.5
7,7,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,14-01-2026 23:00,130
8,8,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,15-01-2026 01:00,244.5
9,9,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,15-01-2026 03:00,242.5
10,10,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,15-01-2026 04:00,240
11,11,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,15-01-2026 12:00,282.5
12,12,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,20-01-2026 05:00,254.5
13,13,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,20-01-2026 09:00,264
14,14,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,20-01-2026 13:00,287
15,15,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,20-01-2026 14:00,289.5
16,16,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,20-01-2026 16:00,267
17,17,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,20-01-2026 21:00,260.5
18,18,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,21-01-2026 00:00,257.5
19,19,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,21-01-2026 01:00,255
20,20,DAC Mangan,Sikkim,11,Sikkim,226,MANGAN,MANGAN,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.49833333,88.53583333,21-01-2026 03:00,252
