SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,17-02-2026 23:00,231
2,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-06-2026 21:00,4.5
3,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-06-2026 22:00,1
4,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,11-06-2026 09:00,9.5
5,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,11-06-2026 10:00,0.5
6,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,11-06-2026 12:00,12.5
7,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,11-06-2026 13:00,0.5
8,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,12-06-2026 02:00,9
9,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,12-06-2026 03:00,9.5
10,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,12-06-2026 04:00,3
11,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,12-06-2026 05:00,1
12,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,12-06-2026 07:00,0.5
13,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,15-06-2026 22:00,0.5
14,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,22-06-2026 16:00,3
15,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,22-06-2026 17:00,3.5
16,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,26-06-2026 15:00,1
17,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,01-07-2026 00:00,0.5
18,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,01-07-2026 06:00,1.5
19,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,01-07-2026 07:00,2
20,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,01-07-2026 08:00,0.5
21,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,01-07-2026 14:00,0.5
22,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,04-07-2026 16:00,1
23,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,06-07-2026 07:00,0.5
24,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-07-2026 06:00,0.5
25,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,17-07-2026 18:00,1
26,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,17-07-2026 19:00,0.5
27,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,19-07-2026 04:00,0.5
28,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,19-07-2026 13:00,0.5
29,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,19-07-2026 15:00,0.5
30,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,19-07-2026 18:00,1
31,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,19-07-2026 19:00,0.5
32,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,19-07-2026 21:00,0.5
33,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,20-07-2026 02:00,0.5
34,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,20-07-2026 03:00,0.5
35,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,20-07-2026 04:00,1
36,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,20-07-2026 07:00,0.5
37,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,20-07-2026 13:00,0.5
38,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,21-07-2026 04:00,0.5
39,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,21-07-2026 13:00,0.5
40,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,27-07-2026 06:00,0.5
41,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-08-2026 11:00,1
42,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-08-2026 12:00,0.5
43,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-08-2026 14:00,0.5
44,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,10-08-2026 18:00,0.5
45,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,11-08-2026 02:00,0.5
46,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,11-08-2026 11:00,0.5
47,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,11-08-2026 22:00,0.5
48,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,12-08-2026 11:00,0.5
49,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,12-08-2026 22:00,0.5
50,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,13-08-2026 13:00,0.5
51,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,17-08-2026 18:00,0.5
52,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,21-08-2026 12:00,0.5
53,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,23-08-2026 15:00,0.5
54,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,25-08-2026 12:00,0.5
55,Bahadarabad,Uttarakhand,5,Uttarakhand,50,Haridwar,-,-,-,-,-,-,-,-,-,29.92380278,78.03671389,22-03-2026 22:00,64.5
56,Bahadarabad,Uttarakhand,5,Uttarakhand,50,Haridwar,-,-,-,-,-,-,-,-,-,29.92380278,78.03671389,23-03-2026 22:00,160
57,Bahadarabad,Uttarakhand,5,Uttarakhand,50,Haridwar,-,-,-,-,-,-,-,-,-,29.92380278,78.03671389,22-04-2026 08:00,64
58,Bahadarabad,Uttarakhand,5,Uttarakhand,50,Haridwar,-,-,-,-,-,-,-,-,-,29.92380278,78.03671389,24-04-2026 00:00,142
59,Baijnath (Gomti),Uttarakhand,5,Uttarakhand,46,Bageshwar,-,-,-,-,-,-,-,-,-,29.90822222,79.61769444,06-02-2026 04:00,250.5
60,Baijnath (Gomti),Uttarakhand,5,Uttarakhand,46,Bageshwar,-,-,-,-,-,-,-,-,-,29.90822222,79.61769444,19-02-2026 17:00,311
61,Baijnath (Gomti),Uttarakhand,5,Uttarakhand,46,Bageshwar,-,-,-,-,-,-,-,-,-,29.90822222,79.61769444,23-03-2026 05:00,341.5
62,Baijnath (Gomti),Uttarakhand,5,Uttarakhand,46,Bageshwar,-,-,-,-,-,-,-,-,-,29.90822222,79.61769444,20-04-2026 18:00,1.5
63,Baijnath (Gomti),Uttarakhand,5,Uttarakhand,46,Bageshwar,-,-,-,-,-,-,-,-,-,29.90822222,79.61769444,23-04-2026 18:00,12
