_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,1,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,14-06-2019 22:30,2.5
2,2,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,14-06-2019 23:30,0.5
3,3,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,15-06-2019 01:30,4
4,4,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,15-06-2019 02:30,1.5
5,5,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,15-06-2019 03:30,6
6,6,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,15-06-2019 04:30,1
7,7,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,15-06-2019 05:30,1.5
8,8,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,15-06-2019 06:30,2
9,9,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,15-06-2019 07:30,2.5
10,10,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,15-06-2019 22:30,0.5
11,11,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,15-06-2019 23:30,0.5
12,12,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,16-06-2019 03:30,1.5
13,13,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,16-06-2019 04:30,1.5
14,14,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,16-06-2019 05:30,2
15,15,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,16-06-2019 06:30,5
16,16,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,16-06-2019 07:30,1
17,17,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,16-06-2019 09:30,0.5
18,18,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,16-06-2019 16:30,0.5
19,19,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,16-06-2019 20:30,0.5
20,20,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,16-06-2019 22:30,0.5
21,21,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,16-06-2019 23:30,0.5
22,22,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,17-06-2019 02:30,1.5
23,23,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,17-06-2019 03:30,1.5
24,24,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,17-06-2019 04:30,1.5
25,25,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,17-06-2019 05:30,1
26,26,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,17-06-2019 06:30,0.5
27,27,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,17-06-2019 07:30,0.5
28,28,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,17-06-2019 08:30,1.5
29,29,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,17-06-2019 10:30,0.5
30,30,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,18-06-2019 08:30,0.5
31,31,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,19-06-2019 08:30,0.5
32,32,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,20-06-2019 09:30,0.5
33,33,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,21-06-2019 19:30,6.5
34,34,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,22-06-2019 17:30,0.5
35,35,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,23-06-2019 13:30,0.5
36,36,Dentam,CWC,11,Sikkim,742,SORENG,-,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,Kalez Khola,Kalez Khola,27.26333333,88.13027778,23-06-2019 16:30,0.5
