SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,06-05-2021 01:30,1
2,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,26-05-2021 00:30,2
3,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,26-05-2021 19:30,1.5
4,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,28-05-2021 05:30,8
5,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,28-05-2021 06:30,18.5
6,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,28-05-2021 07:30,11
7,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,28-05-2021 08:30,11
8,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,28-05-2021 09:30,7
9,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,01-06-2021 22:30,1
10,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,09-06-2021 08:30,7
11,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,13-06-2021 08:30,178
12,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,13-06-2021 11:30,1
13,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,14-06-2021 10:30,4
14,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,16-06-2021 08:30,1.5
15,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,16-06-2021 09:30,1.5
16,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,16-06-2021 23:30,1
17,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,18-06-2021 01:30,0.5
18,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,18-06-2021 07:30,3.5
19,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,18-06-2021 13:30,8.5
20,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,18-06-2021 15:30,4.5
21,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,18-06-2021 16:30,5
22,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,18-06-2021 17:30,1
23,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,18-06-2021 22:30,0.5
24,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 00:30,0.5
25,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 01:30,6.5
26,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 02:30,8
27,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 03:30,2
28,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 04:30,4
29,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 05:30,6
30,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 06:30,14.5
31,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 07:30,14.5
32,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 08:30,1.5
33,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 09:30,1.5
34,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 10:30,1.5
35,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 12:30,0.5
36,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 13:30,3.5
37,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 14:30,2.5
38,Bhareng,CWC,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,Brahmaputra,Brahmaputra,Teesta,Rangit,-,Rangit,27.19027778,88.07638889,19-06-2021 15:30,1
