SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,03-01-2021 18:30,0.5
2,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,03-01-2021 20:30,0.5
3,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,03-01-2021 21:30,0.5
4,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,03-01-2021 23:30,0.5
5,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,04-01-2021 04:30,0.5
6,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,06-01-2021 06:30,1.5
7,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,15-01-2021 14:30,1
8,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,05-02-2021 15:30,0.5
9,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,28-02-2021 14:30,24.5
10,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,21-04-2021 17:00,6
11,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,21-04-2021 18:00,7
12,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,21-04-2021 20:00,0.5
13,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,04-05-2021 23:00,15.5
14,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,05-05-2021 00:00,11
15,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,06-05-2021 17:00,18.5
16,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,06-05-2021 18:00,4
17,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,06-05-2021 19:00,0.5
18,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,06-05-2021 21:00,0.5
19,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,09-05-2021 13:00,1.5
20,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,09-05-2021 14:00,3.5
21,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,09-05-2021 23:00,0.5
22,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,10-05-2021 00:00,0.5
23,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,11-05-2021 21:00,1
24,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,11-05-2021 23:00,0.5
25,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,12-05-2021 13:00,14
26,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,12-05-2021 14:00,2
27,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 02:00,0.5
28,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 06:00,0.5
29,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 07:00,0.5
30,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 08:00,0.5
31,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 12:00,0.5
32,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 17:00,0.5
33,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 18:00,1
34,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 19:00,3.5
35,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 20:00,4
36,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 21:00,4
37,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 22:00,2.5
38,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,19-05-2021 23:00,8
39,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 00:00,7.5
40,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,20-05-2021 01:00,15
